64.106.40.6,cn-unm-1.dataone.org,urn:node:CNUNM1
128.111.54.80,cn-ucsb-1.dataone.org,urn:node:CNUCSB1
160.36.13.150,cn-orc-1.dataone.org,urn:node:CNORC1
128.111.54.111,knb.ecoinformatics.org,urn:node:KNB
128.111.54.82,data.esa.org,urn:node:ESA 
41.134.36.203,dataknp.sanparks.org,urn:node:SANPARKS
160.91.19.41,mercury-ops2.ornl.gov,urn:node:USGSCSAS
160.91.19.41,mercury-ops2.ornl.gov,urn:node:ORNLDAAC
129.24.124.74,gmn.lternet.edu,urn:node:LTER
128.48.120.79,merritt.cdlib.org,urn:node:CDL
128.193.224.166,data.piscoweb.org,urn:node:PISCO
64.106.42.127,oneshare.unm.edu,urn:node:ONEShare
160.36.13.148,mn-orc-1.dataone.org,urn:node:mnORC1
64.106.40.11,mn-unm-1.dataone.org,urn:node:mnUNM1
128.111.54.81,mn-ucsb-1.dataone.org,urn:node:mnUCSB1
210.69.175.116,metacat.tfri.gov.tw,urn:node:TFRI
150.135.175.5,mynpn.usanpn.org,urn:node:USANPN
156.56.27.71,seadva.d2i.indiana.edu,urn:node:SEAD
128.111.54.69,goa.nceas.ucsb.edu,urn:node:GOA
129.237.201.57,bidataone.nhm.ku.edu, urn:node:KUBI
192.171.153.44,data.lter-europe.net,urn:node:LTER_EUROPE
152.14.136.60,datadryad.org,urn:node:DRYAD
132.236.164.22,dataone.ornith.cornell.edu,urn:node:CLOEBIRD
129.24.63.96,gstore.unm.edu,urn:node:EDACGSTORE
153.90.203.178,data.rcg.montana.edu,urn:node:IOE
160.94.0.146,dataone-prod.pop.umn.edu,urn:node:US_MPC
160.91.19.41,mercury-ops2.ornl.gov,urn:node:EDORA
160.91.19.41,mercury-ops2.ornl.gov,urn:node:RGD
144.92.62.198,poseidon.limnology.wisc.edu,urn:node:GLEON
64.106.40.7,cn-sandbox-unm-1.test.dataone.org,urn:node:cnSandboxUNM1
128.111.54.77,cn-sandbox-ucsb-1.test.dataone.org,urn:node:cnSandboxUCSB1
128.111.54.78,cn-dev-ucsb-1.test.dataone.org,urn:node:cnDevUCSB1
64.106.40.9,cn-dev-unm-1.test.dataone.org,urn:node:cnDevUNM1
160.36.13.151,cn-stage-orc-1.test.dataone.org,urn:node:cnStageORC1
128.111.54.76,cn-stage-ucsb-1.test.dataone.org,urn:node:cnStageUCSB1
64.106.40.8,cn-stage-unm-1.test.dataone.org,urn:node:cnStageUNM1